num_of_features, hidden_layer_size, momentum, mean_score, std_score
49,               40,                0.0,      0.78245923, 0.017238761
49,               40,                0.9,      0.78400641, 0.022895306
50,               20,                0.0,      0.72828578, 0.041889012
50,               20,                0.9,      0.69791131, 0.056794919
50,               30,                0.0,      0.7413762, 0.039767692
50,               30,                0.9,      0.74714708, 0.03693884
50,               40,                0.0,      0.77803449, 0.01777176
50,               40,                0.9,      0.79043016, 0.033824446
51,               20,                0.0,      0.70653363, 0.066469015
51,               20,                0.9,      0.7216137, 0.043400163
51,               30,                0.0,      0.76448682, 0.016163047
51,               30,                0.9,      0.75849766, 0.029978221
51,               40,                0.0,      0.77136438, 0.020533946
51,               40,                0.9,      0.77756837, 0.019111494
52,               20,                0.0,      0.71497561, 0.035167994
52,               20,                0.9,      0.71429416, 0.045757381
52,               30,                0.0,      0.74473861, 0.031528902
52,               30,                0.9,      0.75472087, 0.030068059
52,               40,                0.0,      0.78200197, 0.02886034
52,               40,                0.9,      0.78111653, 0.026498129
53,               20,                0.0,      0.68564474, 0.079120419
53,               20,                0.9,      0.73829515, 0.024696081
53,               30,                0.0,      0.74471939, 0.031686281
53,               30,                0.9,      0.76604188, 0.02465043
53,               40,                0.0,      0.77778615, 0.025477362
53,               40,                0.9,      0.80221138, 0.013280447
54,               20,                0.0,      0.73187682, 0.041168302
54,               20,                0.9,      0.73271495, 0.050178693
54,               30,                0.0,      0.74714511, 0.038101692
54,               30,                0.9,      0.7633624, 0.030969258
54,               40,                0.0,      0.78200197, 0.023825712
54,               40,                0.9,      0.79355703, 0.019151718
55,               20,                0.0,      0.66116728, 0.17955892
55,               20,                0.9,      0.70033309, 0.041514723
55,               30,                0.0,      0.7535999, 0.032489417
55,               30,                0.9,      0.76048583, 0.025264453
55,               40,                0.0,      0.78733974, 0.024533116
55,               40,                0.9,      0.79067061, 0.01708029
56,               20,                0.0,      0.71121212, 0.022674311
56,               20,                0.9,      0.73053215, 0.043154689
56,               30,                0.0,      0.75602562, 0.043772755
56,               30,                0.9,      0.7486918, 0.034403022
56,               40,                0.0,      0.77979946, 0.023549811
56,               40,                0.9,      0.78801183, 0.015877674
57,               20,                0.0,      0.7147524, 0.039976755
57,               20,                0.9,      0.71366691, 0.039504819
57,               30,                0.0,      0.78533826, 0.026381775
57,               30,                0.9,      0.74915102, 0.055075128
57,               40,                0.0,      0.77448386, 0.031329106
57,               40,                0.9,      0.78557428, 0.020339817
58,               20,                0.0,      0.70987189, 0.032061282
58,               20,                0.9,      0.6832338, 0.052208254
58,               30,                0.0,      0.77491155, 0.031044881
58,               30,                0.9,      0.7476201, 0.04448279
58,               40,                0.0,      0.78733136, 0.019366653
58,               40,                0.9,      0.79357576, 0.021245931
59,               20,                0.0,      0.7429697, 0.02327795
59,               20,                0.9,      0.70322887, 0.051095683
59,               30,                0.0,      0.76692634, 0.027328848
59,               30,                0.9,      0.76848288, 0.023335282
59,               40,                0.0,      0.78469032, 0.031327067
59,               40,                0.9,      0.7993358, 0.016217751
